"id","pool","difficulty","depthCategory","numerical","mathKind","macroLightTouch","placementResult"
"ECON-MG-EASY-10","easy","easy","CONCEPTUAL_GAINS","false","","PASS","PASS"
"P52B-TRADE-E-001","easy","easy","ABSOLUTE_VS_COMPARATIVE","true","givenComparative","PASS","PASS"
"P52B-TRADE-E-002","easy","easy","ABSOLUTE_VS_COMPARATIVE","true","absolute","PASS","PASS"
"P52B-TRADE-E-003","easy","easy","ABSOLUTE_VS_COMPARATIVE","false","","PASS","PASS"
"P52B-TRADE-E-004","easy","easy","SPECIALIZATION","false","","PASS","PASS"
"P52B-TRADE-E-005","easy","easy","CONCEPTUAL_GAINS","false","","PASS","PASS"
"P75-TRADE-E-007","easy","easy","FOUNDATIONAL_CONCEPT","true","givenComparative","PASS","PASS"
"P75-TRADE-E-008","easy","easy","ABSOLUTE_VS_COMPARATIVE","false","","PASS","PASS"
"P75-TRADE-E-009","easy","easy","SPECIALIZATION","true","givenComparative","PASS","PASS"
"P75-TRADE-E-010","easy","easy","CONCEPTUAL_GAINS","false","","PASS","PASS"
"P52B-TRADE-M-001","medium","medium","SIMPLE_OPPORTUNITY_COST","true","comparative","PASS","PASS"
"P52B-TRADE-M-002","medium","medium","SIMPLE_OPPORTUNITY_COST","true","comparative","PASS","PASS"
"P52B-TRADE-M-003","medium","medium","SPECIALIZATION","true","specialization","PASS","PASS"
"P52B-TRADE-M-004","medium","medium","TERMS_OF_TRADE","true","strictRate","PASS","PASS"
"P52B-TRADE-M-005","medium","medium","SIMPLE_OPPORTUNITY_COST","true","givenComparative","PASS","PASS"
"P52B-TRADE-M-006","medium","medium","CONCEPTUAL_GAINS","false","","PASS","PASS"
"P75-TRADE-M-007","medium","medium","SIMPLE_OPPORTUNITY_COST","true","comparative","PASS","PASS"
"P75-TRADE-M-008","medium","medium","SIMPLE_OPPORTUNITY_COST","true","hoursComparative","PASS","PASS"
"P75-TRADE-M-009","medium","medium","RECIPROCAL_OPPORTUNITY_COST","true","reciprocal","PASS","PASS"
