video_id,title,los_covered,url,transcript,chapter
pUkRo9COd38,Asymmetric Information and Health Insurance,LO19.1,https://www.youtube.com/watch?v=pUkRo9COd38,asymmetric-information-and-health-insurance-transcript.srt,19
sXPXpJ5vMnU,Asymmetric Information and Used Cars,LO19.1,https://www.youtube.com/watch?v=sXPXpJ5vMnU,asymmetric-information-and-used-cars-transcript.srt,19
F8ZHZRMSxKg,Signaling,LO19.4,https://www.youtube.com/watch?v=F8ZHZRMSxKg,signaling-transcript.srt,19
cZhVYtVMBVw,Chapter 19 Worked Problems,LO19.1 - LO19.4,https://wjbyrd.screencasthost.com/watch/cZhVYtVMBVw,chapter-19-worked-problems-transcript.srt,19
5v7TWKlYoN0,Moral Hazard,LO20.1 - LO20.2,https://www.youtube.com/watch?v=5v7TWKlYoN0,moral-hazard-transcript.srt,20
6faL76QZ2AA,Solutions to Moral Hazard,LO20.3 - LO20.4,https://www.youtube.com/watch?v=6faL76QZ2AA,solutions-to-moral-hazard-transcript.srt,20
cZhVqLVMA94,Chapter 20 Worked Problems,LO20.1 - LO20.5,https://wjbyrd.screencasthost.com/watch/cZhVqLVMA94,chapter-20-worked-problems-transcript.srt,20
cThFDXn61x7,Employee vs Company Interest,LO21.1 - LO21.2,https://wjbyrd.screencasthost.com/watch/cThFDXn61x7,employee-vs-company-interest-transcript.srt,21
cT1n2nn6KWZ,Aligning Incentives,LO21.1 - LO21.6,https://wjbyrd.screencasthost.com/watch/cT1n2nn6KWZ,aligning-incentives-transcript.srt,21
cTihbBnl34w,Why Good Divisions Make Bad Decisions,"LO22.1, LO22.3, LO22.5",https://wjbyrd.screencasthost.com/watch/cTihbBnl34w,why-good-divisions-make-bad-decisions-transcript.srt,22
cTihb7nl3aT,Transfer Pricing and System-Wide Profit,"LO22.1, LO22.2, LO22.6",https://wjbyrd.screencasthost.com/watch/cTihb7nl3aT,transfer-pricing-and-system-wide-profit-transcript.srt,22
cTijbJnlv4h,"Silos, Teams and the Myth of Autonomy",LO22.4 - LO22.6,https://wjbyrd.screencasthost.com/watch/cTijbJnlv4h,silos-teams-and-the-myth-of-autonomy-transcript.srt,22
cTijF1nlvz7,Budget Battles and the Cost of Gaming the System,LO22.7,https://wjbyrd.screencasthost.com/watch/cTijF1nlvz7,budget-battles-and-the-cost-of-gaming-the-system-transcript.srt,22
