video_id,title,los_covered,url,transcript,chapter
cThXqlnQm9q,Incentive Alignment,LO1.1 - LO1.5,https://wjbyrd.screencasthost.com/watch/cThXqlnQm9q,incentive-alignment-transcript.srt,1
cThnYinQ3oV,Surplus,"LO2.1, LO2.3 - LO2.4",https://wjbyrd.screencasthost.com/watch/cThnYinQ3oV,surplus-transcript.srt,2
cThnYrnQ3D8,Taxes and Subsidies,LO2.3 - LO2.4,https://wjbyrd.screencasthost.com/watch/cThnYrnQ3D8,taxes-and-subsidies-transcript.srt,2
cThnYZnQ3bD,Price Ceilings and Price Floors,LO2.3 - LO2.4,https://wjbyrd.screencasthost.com/watch/cThnYZnQ3bD,price-ceilings-and-price-floors-transcript.srt,2
cT1D2ZnXUcN,Chapter 2 Worked Problems,LO2.1 - LO2.5,https://wjbyrd.screencasthost.com/watch/cT1D2ZnXUcN,chapter-2-worked-problems-transcript.srt,2
c3j2F4VTVkx,"Fixed, Variable and Total Costs",LO3.3,https://wjbyrd.screencasthost.com/watch/c3j2F4VTVkx,fixed-variable-and-total-costs-transcript.srt,3
c3j1FDVZGRa,Accounting versus Economic Profit,"LO3.1, LO3.4",https://wjbyrd.screencasthost.com/watch/c3j1FDVZGRa,accounting-versus-economic-profit-transcript.srt,3
cTh1rtnQyVP,Sunk and Hidden Cost Fallacies,"LO3.2, LO3.5, LO3.6",https://wjbyrd.screencasthost.com/watch/cTh1rtnQyVP,sunk-and-hidden-cost-fallacies-transcript.srt,3
cT1DIOnXuJz,Chapter 3 Worked Problems,LO3.1 - LO3.6,https://wjbyrd.screencasthost.com/watch/cT1DIOnXuJz,chapter-3-worked-problems-transcript.srt,3
c3j2YGVTVd8,Marginal and Average Costs,LO4.1 - LO4.2,https://wjbyrd.screencasthost.com/watch/c3j2YGVTVd8,marginal-and-average-costs-transcript.srt,4
cTh133nQyQo,Decisions at the Margin,LO4.2 - LO4.3,https://wjbyrd.screencasthost.com/watch/cTh133nQyQo,decisions-at-the-margin-transcript.srt,4
cTh10InQy20,Incentive Pay,LO4.4,https://wjbyrd.screencasthost.com/watch/cTh10InQy20,incentive-pay-transcript.srt,4
cT1DIGnXuMO,Chapter 4 Worked Problems,LO4.1 - LO4.4,https://wjbyrd.screencasthost.com/watch/cT1DIGnXuMO,chapter-4-worked-problems-transcript.srt,4
c3j23jVTVNP,Scale Economies,"LO7.2, LO7.4 - LO7.5",https://wjbyrd.screencasthost.com/watch/c3j23jVTVNP,scale-economies-transcript.srt,7
cThiqYnQzyJ,Learning Curves and Rates,"LO7.3, LO7.6",https://wjbyrd.screencasthost.com/watch/cThiqYnQzyJ,learning-curves-and-rates-transcript.srt,7
cThiFonQz0F,Economies of Scope,LO7.7,https://wjbyrd.screencasthost.com/watch/cThiFonQz0F,economies-of-scope-transcript.srt,7
cT1D2XnXuR7,Chapter 7 Worked Problems,LO7.1 - LO7.7,https://wjbyrd.screencasthost.com/watch/cT1D2XnXuR7,chapter-7-worked-problems-transcript.srt,7
