video_id,title,los_covered,url,transcript,chapter
c0jYYoVpYkh,Compounding and Discounting,LO5.1,https://wjbyrd.screencasthost.com/watch/c0jYYoVpYkh,compounding-and-discounting-transcript.srt,5
c0jYYPVpY5D,Net Present Value,LO5.2 - LO5.3,https://wjbyrd.screencasthost.com/watch/c0jYYPVpY5D,net-present-value-transcript.srt,5
c0Q1qAVC1PA,Breakeven Analysis,LO5.4,https://wjbyrd.screencasthost.com/watch/c0Q1qAVC1PA,breakeven-analysis-transcript.srt,5
cThirtnQzsH,Post-Investment Holdup,LO5.5,https://wjbyrd.screencasthost.com/watch/cThirtnQzsH,post-investment-hold-up-transcript.srt,5
cT1DDonXUTQ,Chapter 5 Worked Problems,LO5.1 - LO5.5,https://wjbyrd.screencasthost.com/watch/cT1DDonXUTQ,chapter-5-worked-problems-transcript.srt,5
cTflb7nj3bm,Uncertainty,"LO17.1, LO17.4 - LO17.5",https://wjbyrd.screencasthost.com/watch/cTflb7nj3bm,uncertainty-transcript.srt,17
c0QYDPVCdet,Pricing and Price Discrimination,LO17.2,https://wjbyrd.screencasthost.com/watch/c0QYDPVCdet,pricing-and-price-discrimination-transcript.srt,17
c0Q0YsVC9y8,Experiments and Difference in Difference,LO17.3,https://wjbyrd.screencasthost.com/watch/c0Q0YsVC9y8,experiments-and-difference-in-difference-transcript.srt.srt,17
cT1FFsnXAoO,Chapter 17 Worked Problems,LO17.1 - LO17.6,https://wjbyrd.screencasthost.com/watch/cT1FFsnXAoO,chapter-17-worked-problems-transcript.srt,17
cT60qNnbKN7,Demand,LO8.2,https://wjbyrd.screencasthost.com/watch/cT60qNnbKN7,demand-transcript.srt,8
cT60qRnbK8O,Supply,LO8.2,https://wjbyrd.screencasthost.com/watch/cT60qRnbK8O,supply-transcript.srt,8
cT60q9nbK8I,Demand and Supply,"LO8.1, LO8.3 - LO8.4",https://wjbyrd.screencasthost.com/watch/cT60q9nbK8I,demand-and-supply-transcript.srt,8
c0Q1Y8VCiQh,Demand and Supply: Math,"LO8.1, LO8.3 - LO8.4",https://wjbyrd.screencasthost.com/watch/c0Q1Y8VCiQh,demand-and-supply-math-transcript.srt,8
cT1FqDnXAqX,Chapter 8 Worked Problems,LO8.1 - LO8.4,https://wjbyrd.screencasthost.com/watch/cT1FqDnXAqX,chapter-8-worked-problems-transcript.srt,8
c3jO2vVTy7C,Total Revenue and Total Cost,LO9.1,https://wjbyrd.screencasthost.com/watch/c3jO2vVTy7C,total-revenue-and-total-cost-transcript.srt,9
c3jOo7VT4fG,Profit Maximization and Loss Minimization,LO9.1 - LO9.2,https://wjbyrd.screencasthost.com/watch/c3jOo7VT4fG,profit-maximization-and-loss-minimization-transcript.srt,9
c3jUFdVTkcm,Short and Long Run Equilibrium,LO9.2,https://wjbyrd.screencasthost.com/watch/c3jUFdVTkcm,short-and-long-run-equilibrium-transcript.srt,9
cT1iq4nXh2P,Tradeoffs in Labor and Capital Markets,LO9.3 - LO9.4,https://wjbyrd.screencasthost.com/watch/cT1iq4nXh2P,tradeoffs-in-labor-and-capital-markets-transcript.srt,9
cTVU3enfp0t,The Monopoly Model and Welfare,LO9.5 - LO9.6,https://wjbyrd.screencasthost.com/watch/cTVU3enfp0t,the-monopoly-model-and-welfare-transcript.srt,9
cTVU3XnfpZx,Natural Monopoly and Public Policy,LO9.5 - LO9.6,https://wjbyrd.screencasthost.com/watch/cTVU3XnfpZx,natural-monopoly-and-public-policy-transcript.srt,9
cT1FqvnXAre,Chapter 9 Worked Problems,LO9.1 - LO9.6,https://wjbyrd.screencasthost.com/watch/cT1FqvnXAre,chapter-9-worked-problems-transcript.srt,9
