video_id,title,los_covered,url,transcript,chapter
cTfqcvnjCfy,Price Elasticity of Demand,LO6.3,https://wjbyrd.screencasthost.com/watch/cTfqcvnjCfy,price-elasticity-of-demand-transcript.srt,6
cT1I27nX0iX,Understanding Demand and Setting Optimal Prices,LO6.1 - LO6.2,https://wjbyrd.screencasthost.com/watch/cT1I27nX0iX,understanding-demand-and-setting-optimal-prices-transcript.srt,6
c3iuF5VZZ94,Calculating the Elasticity of Demand,LO6.3,https://wjbyrd.screencasthost.com/watch/c3iuF5VZZ94,calculating-the-elasticity-of-demand-transcript.srt,6
c3iUorVZtbn,Elasticity and Total Revenue,LO6.2 - LO6.3,https://wjbyrd.screencasthost.com/watch/c3iUorVZtbn,elasticity-and-total-revenue-transcript.srt,6
c3iUruVZuVd,Income and Cross Price Elasticity,LO6.4,https://wjbyrd.screencasthost.com/watch/c3iUruVZuVd,income-and-cross-price-elasticity-transcript.srt,6
cT1IoZnX0Ia,Stay-Even Analysis,LO6.5,https://wjbyrd.screencasthost.com/watch/cT1IoZnX0Ia,stay-even-analysis-transcript.srt,6
cT1qbsnXkpp,Chapter 6 Worked Problems,LO6.1 - LO6.5,https://wjbyrd.screencasthost.com/watch/cT1qbsnXkpp,chapter-6-worked-problems-transcript.srt,6
cTf6qvnjbqA,Commonly Owned Complements and Substitutes,LO12.1 - LO12.2,https://wjbyrd.screencasthost.com/watch/cTf6qvnjbqA,commonly-owned-complements-and-substitutes-transcript.srt,12
cTi3opnIQQ8,Pricing Commonoly Owned Substitutes and Complements,LO12.1 - LO12.2,https://wjbyrd.screencasthost.com/watch/cTi3opnIQQ8,pricing-commonly-owned-substitutes-and-complements-transcript.srt,12
cT1jrxnX1uK,Pricing When Capacity and Forecasts Matter,LO12.3 - LO12.4,https://wjbyrd.screencasthost.com/watch/cT1jrxnX1uK,pricing-when-capacity-and-forecasts-matter-transcript.srt,12
cTf6q8njbZq,Advertising and Promotional Pricing,LO12.5 - LO12.6,https://wjbyrd.screencasthost.com/watch/cTf6q8njbZq,advertising-and-promotional-pricing-transcript.srt,12
cTi3o6nIQfN,Psychological Pricing,LO12.6,https://wjbyrd.screencasthost.com/watch/cTi3o6nIQfN,psychological-pricing-transcript.srt,12
cT1qFinXk5p,Chapter 12 Worked Problems,LO12.1 -LO12.6,https://wjbyrd.screencasthost.com/watch/cT1qFinXk5p,chapter-12-worked-problems-transcript.srt,12
cTVU3onfpT1,Price Discrimination and Welfare,"LO13.1 - LO13.3, LO13.5",https://wjbyrd.screencasthost.com/watch/cTVU3onfpT1,price-discrimination-and-welfare-transcript.srt,13
cThbbQn6h3l,Robinston-Patman Act ,LO13.4,https://wjbyrd.screencasthost.com/watch/cThbbQn6h3l,robinson-patman-act-transcript.srt.srt,13
cT1qFDnXkEW,Chapter 13 Worked Problems,LO13.1 - LO13.5,https://wjbyrd.screencasthost.com/watch/cT1qFDnXkEW,chapter-13-worked-problems-transcript.srt,13
cT1FoKnXzdp,Product Design and Price Discrimination,LO14.1 - LO14.2,https://wjbyrd.screencasthost.com/watch/cT1FoKnXzdp,product-design-and-price-discrimination-transcript.srt,14
cT1FognXzHz,How Pricing Menus Reveal Consumer Willingness to Pay,LO14.3 - LO14.4,https://wjbyrd.screencasthost.com/watch/cT1FognXzHz,how-pricing-menus-reveal-consumer-willingness-to-pay-transcript.srt,14
c3QXquVOliV,Antitrust Laws and Questionable Business Practices,"LO14.2, LO14.4",https://wjbyrd.screencasthost.com/watch/c3QXquVOliV,antitrust-laws-and-questionable-business-practices-transcript.srt,14
cT1qFCnXkHR,Chapter 14 Worked Problems,LO14.1 - LO14.4,https://wjbyrd.screencasthost.com/watch/cT1qFCnXkHR,chapter-14-worked-problems-transcript.srt,14
cTihbinl3x9,Game Theory Basics Part 1,"LO15.1, LO15.3",https://wjbyrd.screencasthost.com/watch/cTihbinl3x9,game-theory-basics-part-1-transcript.srt,15
cTihbOnl3y7,Game Theory Basics Part 2,LO15.1 - LO15.4,https://wjbyrd.screencasthost.com/watch/cTihbOnl3y7,game-theory-basics-part-2-transcript.srt,15
c06OqtVEz9r,Beyond 2 Strategies,"LO15.1, LO15.3 - LO15.4",https://wjbyrd.screencasthost.com/watch/c06OqtVEz9r,beyond-2-strategies-transcript.srt,15
c06OrCVEAb9,Sequential Games,LO15.1 - LO15.4,https://wjbyrd.screencasthost.com/watch/c06OrCVEAb9,sequential-games-transcript.srt,15
cTheY1nQ0CK,Repeated Games - Finite and Infinite,"LO15.1, LO15.3 - LO15.4",https://wjbyrd.screencasthost.com/watch/cTheY1nQ0CK,repeated-games-finite-and-infinite-transcript.srt,15
c0Xi2pVGj7B,Strategic Bargaining,LO16.1,https://wjbyrd.screencasthost.com/watch/c0Xi2pVGj7B,strategic-bargaining-transcript.srt,16
c06OF9VEzs7,Nonstrategic Bargaining,LO16.2,https://wjbyrd.screencasthost.com/watch/c06OF9VEzs7,nonstrategic-bargaining-transcript.srt,16
cT1IDhnX0Y3,Nonstrategic Bargaining and the Gains from Trade,LO16.2,https://wjbyrd.screencasthost.com/watch/cT1IDhnX0Y3,nonstrategic-bargaining-and-the-gains-from-trade-transcript.srt,16
