video_id,title,los_covered,url,transcript,chapter
cZXeFBncav4,Utility and Preferences,LO3.1 - LO3.2,https://wjbyrd.screencasthost.com/watch/cZXeFBncav4,utility-and-preferences.txt,3
cZXeqCncazc,Indifference Curves,LO3.2,https://wjbyrd.screencasthost.com/watch/cZXeqCncazc,indifference-curves.txt,3
cZXeYAncakm,Budget Constraints,LO3.3,https://wjbyrd.screencasthost.com/watch/cZXeYAncakm,budget-constraints.txt,3
cZXerCncamh,Utility Maximization,LO3.1 - LO3.4,https://wjbyrd.screencasthost.com/watch/cZXerCncamh,utility-maximization.txt,3
cZXe3pnca7s,Worked Problems,LO3.1 - LO3.4,https://wjbyrd.screencasthost.com/watch/cZXe3pnca7s,chapter-3-worked-problems.txt,3
cTfqcvnjCfy,Price Elasticity of Demand,LO4.7,https://wjbyrd.screencasthost.com/watch/cTfqcvnjCfy,price-elasticity-of-demand-transcript.srt,4
c3iuF5VZZ94,Calculating the Price Elasticity of Demand,LO4.7,https://wjbyrd.screencasthost.com/watch/c3iuF5VZZ94,calculating-the-price-elasticity-of-demand.txt,4
c3iUorVZtbn,Elasticity and Total Revenue,LO4.7,https://wjbyrd.screencasthost.com/watch/c3iUorVZtbn,elasticity-and-total-revenue.txt,4
c3iUruVZuVd,Income and Cross Price Elasticity,LO4.7,https://wjbyrd.screencasthost.com/watch/c3iUruVZuVd,income-and-cross-price-elasticity.txt,4
cZXYq5nVvdW,Consumer Surplus,LO4.5,https://wjbyrd.screencasthost.com/watch/cZXYq5nVvdW,consumer-surplus.txt,4
cZXYranVw1I,Elasticity of Demand with Math,LO4.7,https://wjbyrd.screencasthost.com/watch/cZXYranVw1I,elasticity-of-demand-with-math.txt,4
cZXYqynVvJn,Market Demand Part One,"LO4.2, LO4.6",https://wjbyrd.screencasthost.com/watch/cZXYqynVvJn,market-demand-part-one.txt,4
cZXYYnnVvMc,Market Demand Part Two,"LO4.2, LO4.6",https://wjbyrd.screencasthost.com/watch/cZXYYnnVvMc,market-demand-part-two.txt,4
cZXDotnVbhU,Individual Demand Curves,LO4.4,https://wjbyrd.screencasthost.com/watch/cZXDotnVbhU,individual-demand-curves,4
cZXQq0nc8BI,Income and Substitution Effects Part One,LO4.3,https://wjbyrd.screencasthost.com/watch/cZXQq0nc8BI,income-and-substitution-effects-part-one.txt,4
cZXQqlnc8AT,Income and Substitution Effects Part Two,LO4.3,https://wjbyrd.screencasthost.com/watch/cZXQqlnc8AT,income-and-substitution-effects-part-two.txt,4
cZXrrGnVaZe,Chapter 4 Worked Problems,LO4.1 - LO4.7,https://wjbyrd.screencasthost.com/watch/cZXrrGnVaZe,chapter-4-worked-problems.txt,4
cZXjYIncN1T,"Introduction to Demand Functions, Homogeneity, and Income",LO4.1 - LO4.2,https://wjbyrd.screencasthost.com/watch/cZXjYIncN1T,introduction-to-demand-functions.txt,4
